NGA,PolID,year,Pop,Terr,Cap,Hier,Gov,Infra,Info,Money,uniq,Dupl,SPC1,eim_slug,years_to_collapse,collapse_next_100y,collapse_next_50y,collapse_next_150y
Latium,ItRomER,-500,5.0,3.113943352,4.477121255,3.666666667,0.318181818,0.666666667,0.892307692,0.833333333,y,n,1.6375962793479923,roman_republic,473.0,0,0,0
Latium,ItRomER,-400,5.176091259,3.113943352,4.477121255,3.666666667,0.363636364,0.666666667,0.892307692,0.833333333,y,n,1.7300249984244958,roman_republic,373.0,0,0,0
Latium,ItRomER,-300,5.875061263,4.243038049,4.740362689,4.666666667,0.363636364,0.666666667,0.892307692,0.833333333,y,n,2.4322993728545645,roman_republic,273.0,0,0,0
Latium,ItRomWe,400,7.319201022,6.301029996,5.698970004,7.5,0.863636364,0.990909091,0.923076923,0.833333333,y,n,4.953747186472468,western_roman_empire,76.0,1,0,1
Upper Egypt,EgDyn1*,-3100,6.0,4.903089987,4.113943352,4.0,0.154545455,0.727272727,0.638461538,0.45,y,n,1.4283817293434629,egyptian_dynasties_i_and_ii,413.0,0,0,0
Upper Egypt,EgDyn1*,-3000,6.0,4.903089987,4.113943352,4.0,0.154545455,0.727272727,0.638461538,0.45,n,n,1.4283817293434629,egyptian_dynasties_i_and_ii,313.0,0,0,0
Upper Egypt,EgOldK1,-2600,6.096910013,5.327358934,4.602059991,5.5,0.63,0.7,0.853846154,0.45,y,n,2.6950308301621653,old_egytpian_kingdom,445.0,0,0,0
Upper Egypt,EgOldK1,-2500,6.096910013,5.327358934,4.602059991,5.5,0.63,0.7,0.853846154,0.45,n,n,2.6950308301621653,old_egytpian_kingdom,345.0,0,0,0
Upper Egypt,EgOldK1,-2400,6.096910013,5.327358934,4.602059991,5.5,0.63,0.7,0.853846154,0.45,n,n,2.6950308301621653,old_egytpian_kingdom,245.0,0,0,0
Upper Egypt,EgMidKg,-2000,6.301029996,5.376576957,4.477121255,5.166666667,0.6,0.741666667,0.846153846,0.45,y,n,2.6523640378626205,middle_egyptian_kingdom,325.0,0,0,0
Upper Egypt,EgMidKg,-1900,6.301029996,5.615950052,4.477121255,5.166666667,0.6,0.741666667,0.846153846,0.45,y,n,2.709581614288017,middle_egyptian_kingdom,225.0,0,0,0
Upper Egypt,EgMidKg,-1800,6.301029996,5.653212514,4.477121255,5.166666667,0.6,0.741666667,0.846153846,0.45,y,n,2.718488495687045,middle_egyptian_kingdom,125.0,0,0,1
Upper Egypt,EgNKThu,-1500,6.593839661,5.812913357,4.812913357,5.833333333,0.69,0.75,0.915384615,0.45,y,n,3.231514705227949,new_egyptian_kingdom,430.5,0,0,0
Upper Egypt,EgNKThu,-1400,6.593839661,5.954242509,4.812913357,5.833333333,0.69,0.75,0.915384615,0.45,y,n,3.265296745585061,new_egyptian_kingdom,330.5,0,0,0
Upper Egypt,EgNKThu,-1300,6.593839661,6.0,4.812913357,5.833333333,0.69,0.75,0.915384615,0.45,y,n,3.276234201769627,new_egyptian_kingdom,230.5,0,0,0
Upper Egypt,EgSaite,-600,6.33243846,5.544068044,4.698970004,5.5,0.654545455,0.977777778,0.884615385,0.5,y,n,3.195144513439436,saite_period_egypt,75.0,1,0,1
Upper Egypt,IrAchae,-500,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,y,y,4.415191924029762,achaemenid_persia,170.0,0,0,0
Upper Egypt,IqAbbs1,800,6.83464393,6.186012534,5.343108673,6.0,0.554545455,0.983333333,1.0,0.833333333,y,y,4.159618479950801,abbasid_caliphate,458.0,0,0,0
Upper Egypt,EgTulIk,900,6.812913357,5.954242509,5.176091259,5.666666667,0.6,0.9,0.961538462,0.833333333,y,n,3.922700712531863,tulunid_egypt,5.0,1,1,1
Upper Egypt,EgAyyub,1200,6.966141733,6.202760687,5.301029996,5.833333333,0.8,0.909090909,1.0,0.833333333,y,n,4.355768634821211,ayyubid_sultanate_of_egypt,50.0,1,1,1
Southern Mesopotamia,IqAkkad,-2300,6.459442351,5.860338007,4.477121255,5.0,0.636363636,0.966666667,0.915384615,0.5,y,n,3.1422224558796223,the_akkadian_empire_sumer,152.0,0,0,0
Southern Mesopotamia,IqAkkad,-2200,6.459442351,5.860338007,4.477121255,5.0,0.636363636,0.966666667,0.915384615,0.5,y,n,3.1422224558796223,the_akkadian_empire_sumer,52.0,1,0,1
Southern Mesopotamia,IqUrIII,-2100,5.301029996,4.205432084,5.301029996,4.833333333,0.666666667,1.0,0.615384615,0.5,y,n,2.460564078532536,ur_iii_dynasty_neo_sumerian_empire,96.0,1,0,1
Southern Mesopotamia,IqBabAm,-1800,6.348018933,5.653212514,4.706049486,5.0,0.6,0.971428571,0.384615385,0.5,y,n,2.563384681782548,babylonian_empire,205.0,0,0,0
Southern Mesopotamia,IqBabAm,-1700,6.348018933,5.653212514,4.706049486,5.0,0.6,0.971428571,0.384615385,0.5,n,n,2.563384681782548,babylonian_empire,105.0,0,0,1
Southern Mesopotamia,IqBabAm,-1600,6.348018933,5.653212514,4.706049486,5.0,0.6,0.971428571,0.384615385,0.5,n,n,2.563384681782548,babylonian_empire,5.0,1,1,1
Southern Mesopotamia,IqNAssr,-700,6.75282051,6.146128036,5.079181246,4.833333333,0.490909091,0.8625,0.538461538,0.5,y,n,2.8115539898409696,new_assyrian_neo_assyrian,88.0,1,0,1
Southern Mesopotamia,IqNeoBb,-600,6.694514986,5.903089987,5.015595299,5.5,0.6,0.8875,0.761538462,0.5,y,n,3.206362899712154,new_babylonian_empire_neo_babylonian_chaldean_dynasty,61.0,1,0,1
Southern Mesopotamia,IrAchae,-500,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,y,y,4.415191924029762,achaemenid_persia,170.0,0,0,0
Southern Mesopotamia,IrAchae,-400,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,n,y,4.415191924029762,achaemenid_persia,70.0,1,0,1
Southern Mesopotamia,IrSasn1,300,6.698970004,5.696685175,5.098433123,6.5,0.5,0.98,0.569230769,0.833333333,y,y,3.517845819332196,sasanian_sassanid_empire_neo_persian_empire,336.0,0,0,0
Southern Mesopotamia,IrSasn1,400,6.698970004,5.696685175,5.098433123,6.5,0.5,0.98,0.569230769,0.833333333,n,y,3.517845819332196,sasanian_sassanid_empire_neo_persian_empire,236.0,0,0,0
Southern Mesopotamia,IqAbbs1,800,7.447158031,6.919078092,5.84509804,6.0,0.554545455,0.983333333,1.0,0.833333333,y,n,4.645674105833401,abbasid_caliphate,458.0,0,0,0
Southern Mesopotamia,IqAbbs1,900,7.0,6.0,5.77815125,6.0,0.554545455,0.983333333,1.0,0.833333333,y,n,4.296115449652749,abbasid_caliphate,358.0,0,0,0
Southern Mesopotamia,IrSeljq,1100,6.585111614,5.64275341,4.949335447,5.0,0.788888889,0.97,0.846153846,0.833333333,y,y,3.752175008979029,seljuk_seljuq,94.0,1,0,1
Southern Mesopotamia,IrIlkhn,1300,7.110172271,6.579783597,5.165308206,5.5,0.777777778,0.9,0.846153846,1.0,y,y,4.377764201398585,ilkhanate,52.5,1,0,1
Southern Mesopotamia,UzTimur,1400,6.934342666,5.886760044,5.176091259,6.166666667,0.8,0.975,0.838461538,0.833333333,y,y,4.184867111353011,timurid_empire,101.0,0,0,1
Southern Mesopotamia,IrSafvd,1500,6.954242509,6.431363764,5.301029996,5.666666667,0.818181818,0.825,0.923076923,0.833333333,y,y,4.245294441029499,safavid_empire,222.0,0,0,0
Susiana,IqAkkad,-2200,6.459442351,5.860338007,4.477121255,5.0,0.636363636,0.966666667,0.915384615,0.5,y,y,3.1422224558796223,the_akkadian_empire_sumer,52.0,1,0,1
Susiana,IqUrIII,-2100,5.301029996,4.205432084,5.301029996,4.833333333,0.666666667,1.0,0.615384615,0.5,y,y,2.460564078532536,ur_iii_dynasty_neo_sumerian_empire,96.0,1,0,1
Susiana,IrAchae,-500,7.361727836,6.711807229,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.833333333,y,n,4.902303569035048,achaemenid_persia,170.0,0,0,0
Susiana,IrAchae,-400,7.414973348,6.608793374,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.833333333,y,n,4.890561586051013,achaemenid_persia,70.0,1,0,1
Susiana,IrSasn1,300,6.698970004,6.423245874,5.0,6.5,0.5,0.98,0.569230769,0.833333333,y,n,3.659623554444528,sasanian_sassanid_empire_neo_persian_empire,336.0,0,0,0
Susiana,IrSasn1,400,6.698970004,6.498310554,5.397940009,6.5,0.5,0.98,0.569230769,0.833333333,y,n,3.806500602372532,sasanian_sassanid_empire_neo_persian_empire,236.0,0,0,0
Susiana,IqAbbs1,800,6.83464393,6.186012534,5.343108673,6.0,0.554545455,0.983333333,1.0,0.833333333,y,y,4.159618479950801,abbasid_caliphate,458.0,0,0,0
Susiana,IqAbbs1,900,6.83464393,6.186012534,5.343108673,6.0,0.554545455,0.983333333,1.0,0.833333333,n,y,4.159618479950801,abbasid_caliphate,358.0,0,0,0
Susiana,IrSeljq,1100,7.08278537,6.62838893,5.875061263,5.0,0.827272727,0.97,0.846153846,0.833333333,y,n,4.450188715027079,seljuk_seljuq,94.0,1,0,1
Susiana,IrIlkhn,1300,6.720159303,6.579783597,5.176091259,5.5,0.7,0.9,0.846153846,1.0,y,n,4.201642938613662,ilkhanate,52.5,1,0,1
Susiana,UzTimur,1400,6.934342666,5.886760044,5.176091259,6.166666667,0.8,0.975,0.838461538,0.833333333,y,y,4.184867111353011,timurid_empire,101.0,0,0,1
Susiana,IrSafvd,1600,6.954242509,6.431363764,5.301029996,5.666666667,0.818181818,0.825,0.923076923,0.833333333,y,n,4.245294441029499,safavid_empire,122.0,0,0,1
Susiana,IrSafvd,1700,6.954242509,6.431363764,5.301029996,5.666666667,0.818181818,0.825,0.923076923,0.833333333,n,n,4.245294441029499,safavid_empire,22.0,1,1,1
Galilee,IlYisrl,-1000,4.653212514,4.06069784,4.243038049,7.0,0.7,0.644444444,0.446153846,0.5,y,n,1.8628142467808388,kingdom_of_israel,278.0,0,0,0
Galilee,IlYisrl,-1000,4.653212514,4.06069784,4.243038049,7.0,0.7,0.644444444,0.446153846,0.5,y,n,1.8628142467808388,kingdom_of_judah,414.0,0,0,0
Galilee,IlYisrl,-900,5.243038049,4.06069784,4.243038049,7.0,0.7,0.644444444,0.446153846,0.5,y,n,2.005508845477814,kingdom_of_israel,178.0,0,0,0
Galilee,IlYisrl,-900,5.243038049,4.06069784,4.243038049,7.0,0.7,0.644444444,0.446153846,0.5,y,n,2.005508845477814,kingdom_of_judah,314.0,0,0,0
Galilee,IlYisrl,-800,5.544068044,4.06069784,4.243038049,7.0,0.7,0.644444444,0.446153846,0.5,y,n,2.0783360660427515,kingdom_of_israel,78.0,1,0,1
Galilee,IlYisrl,-800,5.544068044,4.06069784,4.243038049,7.0,0.7,0.644444444,0.446153846,0.5,y,n,2.0783360660427515,kingdom_of_judah,214.0,0,0,0
Galilee,IqNAssr,-700,6.574858805,6.146128036,4.748130016,4.833333333,0.490909091,0.8625,0.538461538,0.5,y,y,2.661238269744207,new_assyrian_neo_assyrian,88.0,1,0,1
Galilee,IqNeoBb,-600,6.694514986,5.903089987,5.015595299,5.5,0.6,0.8875,0.761538462,0.5,y,y,3.206362899712154,new_babylonian_empire_neo_babylonian_chaldean_dynasty,61.0,1,0,1
Galilee,IrAchae,-500,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,y,y,4.415191924029762,achaemenid_persia,170.0,0,0,0
Galilee,IrAchae,-400,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,n,y,4.415191924029762,achaemenid_persia,70.0,1,0,1
Konya Plain,IrAchae,-500,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,y,y,4.415191924029762,achaemenid_persia,170.0,0,0,0
Konya Plain,IrAchae,-400,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,n,y,4.415191924029762,achaemenid_persia,70.0,1,0,1
Konya Plain,IrIlkhn,1300,7.110172271,6.579783597,5.165308206,5.5,0.777777778,0.9,0.846153846,1.0,y,y,4.377764201398585,ilkhanate,52.5,1,0,1
Yemeni Coastal Plain,IqAbbs1,800,6.83464393,6.186012534,5.343108673,6.0,0.554545455,0.983333333,1.0,0.833333333,y,y,4.159618479950801,abbasid_caliphate,458.0,0,0,0
Yemeni Coastal Plain,EgAyyub,1200,6.934399598,6.13579255,5.231052713,5.833333333,0.8,0.909090909,1.0,0.833333333,y,y,4.30940896578381,ayyubid_sultanate_of_egypt,50.0,1,1,1
Sogdiana,IrAchae,-500,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,y,y,4.415191924029762,achaemenid_persia,170.0,0,0,0
Sogdiana,IrAchae,-400,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,n,y,4.415191924029762,achaemenid_persia,70.0,1,0,1
Sogdiana,IrSasn1,300,6.698970004,5.696685175,5.098433123,6.5,0.5,0.98,0.569230769,0.833333333,y,y,3.517845819332196,sasanian_sassanid_empire_neo_persian_empire,336.0,0,0,0
Sogdiana,IqAbbs1,800,6.83464393,6.186012534,5.343108673,6.0,0.554545455,0.983333333,1.0,0.833333333,y,y,4.159618479950801,abbasid_caliphate,458.0,0,0,0
Sogdiana,UzTimur,1400,7.69019608,6.740362689,5.176091259,6.166666667,0.8,0.975,0.838461538,0.833333333,y,n,4.571765746430592,timurid_empire,101.0,0,0,1
Sogdiana,UzTimur,1500,6.934342666,5.886760044,5.176091259,6.166666667,0.8,0.975,0.838461538,0.833333333,y,n,4.184867111353011,timurid_empire,1.0,1,1,1
Orkhon Valley,MnMongE,1200,5.0,4.903089987,2.698970004,2.666666667,0.363636364,0.0,0.153846154,0.166666667,y,n,-0.7370942444521942,mongol_y_an,139.0,0,0,1
Orkhon Valley,CnQingL,1800,7.873052054,7.053078443,5.931548219,7.833333333,0.918181818,1.0,1.0,1.0,y,y,5.737869698272736,qing_dynasty_manchu,111.5,0,0,1
Orkhon Valley,CnQingL,1900,7.873052054,7.053078443,5.931548219,7.833333333,0.918181818,1.0,1.0,1.0,n,y,5.737869698272736,qing_dynasty_manchu,11.5,1,1,1
Kachi Plain,IrAchae,-500,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,y,y,4.415191924029762,achaemenid_persia,170.0,0,0,0
Kachi Plain,IrAchae,-400,7.016342619,6.133334338,5.301029996,6.5,0.990909091,0.972727273,0.946153846,0.6,n,y,4.415191924029762,achaemenid_persia,70.0,1,0,1
Kachi Plain,IrSasn1,300,6.698970004,5.696685175,5.098433123,6.5,0.5,0.98,0.569230769,0.833333333,y,y,3.517845819332196,sasanian_sassanid_empire_neo_persian_empire,336.0,0,0,0
Kachi Plain,IrSasn1,400,6.698970004,5.696685175,5.098433123,6.5,0.5,0.98,0.569230769,0.833333333,n,y,3.517845819332196,sasanian_sassanid_empire_neo_persian_empire,236.0,0,0,0
Kachi Plain,IqAbbs1,800,6.83464393,6.186012534,5.343108673,6.0,0.554545455,0.983333333,1.0,0.833333333,y,y,4.159618479950801,abbasid_caliphate,458.0,0,0,0
Middle Yellow River Valley,CnShang,-1200,6.69897,6.0,3.60206,4.0,0.5444444,0.8285714,0.3615385,0.45,y,n,1.9283168715380763,late_shang_dynasty,154.0,0,0,0
Middle Yellow River Valley,CnShang,-1100,6.69897,6.0,3.60206,4.0,0.5444444,0.8285714,0.3615385,0.45,n,n,1.9283168715380763,late_shang_dynasty,54.0,1,0,1
Middle Yellow River Valley,CnWZhou,-1000,7.021189,5.929419,5.0,5.166667,0.85,0.8444444,0.7307692,0.3333333,y,n,3.242564683897097,western_zhou,217.0,0,0,0
Middle Yellow River Valley,CnWZhou,-1000,7.021189,5.929419,5.0,5.166667,0.85,0.8444444,0.7307692,0.3333333,y,n,3.242564683897097,western_zhou,744.0,0,0,0
Middle Yellow River Valley,CnWZhou,-900,7.130334,5.929419,5.09691,5.166667,0.85,0.8444444,0.7307692,0.3333333,y,n,3.300369038389223,western_zhou,117.0,0,0,1
Middle Yellow River Valley,CnWZhou,-900,7.130334,5.929419,5.09691,5.166667,0.85,0.8444444,0.7307692,0.3333333,y,n,3.300369038389223,western_zhou,644.0,0,0,0
Middle Yellow River Valley,CnWZhou,-800,7.130334,5.929419,5.09691,5.166667,0.85,0.8444444,0.7307692,0.3333333,n,n,3.300369038389223,western_zhou,17.0,1,1,1
Middle Yellow River Valley,CnWZhou,-800,7.130334,5.929419,5.09691,5.166667,0.85,0.8444444,0.7307692,0.3333333,n,n,3.300369038389223,western_zhou,544.0,0,0,0
Middle Yellow River Valley,CnJinSA,-700,6.128744,5.20412,4.62813,4.333333,0.84,0.8333333,0.7923077,0.5,y,n,2.8159148708528803,jin,351.0,0,0,0
Middle Yellow River Valley,CnJinSA,-600,6.128744,5.20412,4.62813,4.333333,0.84,0.8333333,0.7923077,0.5,n,n,2.8159148708528803,jin,251.0,0,0,0
Middle Yellow River Valley,CnJinSA,-500,6.128744,5.20412,4.62813,4.333333,0.84,0.8333333,0.7923077,0.5,n,n,2.8159148708528803,jin,151.0,0,0,0
Middle Yellow River Valley,CnQingL,1800,8.469822,7.053078,5.949825,7.833333,0.9181818,1.0,1.0,1.0,y,n,5.8881659064391165,qing_dynasty_manchu,111.5,0,0,1
Middle Yellow River Valley,CnQingL,1900,8.532754,7.053078,6.016766,7.833333,0.9181818,1.0,1.0,1.0,y,n,5.925080013841275,qing_dynasty_manchu,11.5,1,1,1
Kansai,JpSengk,1500,7.176091,4.176091,4.60206,5.166667,0.4444444,1.0,0.3846154,0.8333333,y,n,2.6402462515895664,japan_senguko_period,115.0,0,0,1
Basin of Mexico,MxToltc,900,5.243038,4.352183,4.653213,3.333333,0.5111111,1.0,0.3076923,0.5546591,y,n,1.5827923434937072,toltec_empire,250.0,0,0,0
Basin of Mexico,MxToltc,1000,5.243038,4.352183,4.653213,3.333333,0.5111111,1.0,0.3076923,0.5546591,n,n,1.5827923434937072,toltec_empire,150.0,0,0,1
Basin of Mexico,MxToltc,1100,5.243038,4.352183,4.653213,3.333333,0.5111111,1.0,0.3076923,0.5546591,n,n,1.5827923434937072,toltec_empire,50.0,1,1,1
Basin of Mexico,MxAztec,1500,6.544068,4.448242,5.352183,5.833333,0.7727273,1.0,0.5384615,0.6886081,y,n,3.266203551610994,aztec_empire,20.0,1,1,1
Cahokia,USMisMW,-100,2.38554,2.144353,1.60206,1.25,0.0,0.08333333,0.0,0.1666667,y,n,-3.118538191164523,cahokia,1302.5,0,0,0
Cahokia,USMisMW,0,2.38554,2.144353,1.60206,1.25,0.0,0.08333333,0.0,0.1666667,n,n,-3.118538191164523,cahokia,1202.5,0,0,0
Cahokia,USMisMW,100,2.38554,2.144353,1.60206,1.25,0.0,0.08333333,0.0,0.1666667,n,n,-3.118538191164523,cahokia,1102.5,0,0,0
Cahokia,USMisMW,200,2.38554,2.144353,1.60206,1.25,0.0,0.08333333,0.0,0.1666667,n,n,-3.118538191164523,cahokia,1002.5,0,0,0
